Shot,Coordinate,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11,Layer 12,Layer 13,Layer 14,Layer 15,Layer 16,Layer 17
35,Y1,,,,,,,,,,,,,,,,,
35,X2,,,,,,,,,,,,,,,,,
35,Y2,,,,,,,,,,,,,,,,,
36,X1,,,,,,,,,,,,,,,,,
36,Y1,,,,,,,,,,,,,,,,,
36,X2,,,,,,,,,,,,,,,,,
36,Y2,,,,,,,,,,,,,,,,,
37,X1,,,,,,,,,,,,,,,,,
37,Y1,,,,,,,,,,,,,,,,,
37,X2,,,,,,,,,,,,,,,,,
37,Y2,,,,,,,,,,,,,,,,,
38,X1,,,,,,,,,,,,,,,,,
38,Y1,,,,,,,,,,,,,,,,,
38,X2,,,,,,,,,,,,,,,,,
38,Y2,,,,,,,,,,,,,,,,,
39,X1,,,,,,,,,,,,,,,,,
39,Y1,,,,,,,,,,,,,,,,,
39,X2,,,,,,,,,,,,,,,,,
39,Y2,,,,,,,,,,,,,,,,,
40,X1,,,,,,,,,,,,,,,,,
40,Y1,,,,,,,,,,,,,,,,,
40,X2,,,,,,,,,,,,,,,,,
40,Y2,,,,,,,,,,,,,,,,,
41,X1,,,,,,,,,,,,,,,,,
41,Y1,,,,,,,,,,,,,,,,,
41,X2,,,,,,,,,,,,,,,,,
41,Y2,,,,,,,,,,,,,,,,,
42,X1,,,,,,,,,,,,,,,,,
42,Y1,,,,,,,,,,,,,,,,,
42,X2,,,,,,,,,,,,,,,,,
42,Y2,,,,,,,,,,,,,,,,,
43,X1,,,,,,,,,,,,,,,,,
43,Y1,,,,,,,,,,,,,,,,,
43,X2,,,,,,,,,,,,,,,,,
43,Y2,,,,,,,,,,,,,,,,,
44,X1,,,,,,,,,,,,,,,,,
44,Y1,,,,,,,,,,,,,,,,,
44,X2,,,,,,,,,,,,,,,,,
44,Y2,,,,,,,,,,,,,,,,,
45,X1,,,,,,,,,,,,,,,,,
45,Y1,,,,,,,,,,,,,,,,,
45,X2,,,,,,,,,,,,,,,,,
45,Y2,,,,,,,,,,,,,,,,,
46,X1,,,,,,,,,,,,,,,,,
46,Y1,,,,,,,,,,,,,,,,,
46,X2,,,,,,,,,,,,,,,,,
46,Y2,,,,,,,,,,,,,,,,,
47,X1,,,,,,,,,,,,,,,,,
47,Y1,,,,,,,,,,,,,,,,,
47,X2,,,,,,,,,,,,,,,,,
47,Y2,,,,,,,,,,,,,,,,,
48,X1,,,,,,,,,,,,,,,,,
48,Y1,,,,,,,,,,,,,,,,,
48,X2,,,,,,,,,,,,,,,,,
48,Y2,,,,,,,,,,,,,,,,,
49,X1,,,,,,,,,,,,,,,,,
49,Y1,,,,,,,,,,,,,,,,,
49,X2,,,,,,,,,,,,,,,,,
49,Y2,,,,,,,,,,,,,,,,,
50,X1,,,,,,,,,,,,,,,,,
50,Y1,,,,,,,,,,,,,,,,,
50,X2,,,,,,,,,,,,,,,,,
50,Y2,,,,,,,,,,,,,,,,,
